"2 November","08:49","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"2 November","15:11","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"2 November","06:52","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"3 November","17:39","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"3 November","15:11","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"3 November","14:58","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"3 November","10:33","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"3 November","18:18","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"3 November","14:42","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"3 November","13:06","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"4 November","07:37","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"4 November","13:23","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"4 November","16:49","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"4 November","15:56","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"4 November","12:06","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"4 November","13:49","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"4 November","14:54","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"5 November","10:26","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"6 November","18:47","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"6 November","10:38","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"6 November","15:35","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"7 November","12:01","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"7 November","13:04","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"7 November","14:01","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"7 November","17:28","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"7 November","13:03","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"7 November","13:21","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"7 November","10:55","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"8 November","13:08","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"8 November","20:20","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"8 November","15:37","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"8 November","15:16","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"8 November","08:06","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"8 November","12:30","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"8 November","18:49","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"9 November","20:47","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"9 November","09:08","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"9 November","14:24","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"9 November","09:20","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"9 November","17:34","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"9 November","17:24","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"9 November","19:21","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"10 November","18:04","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"10 November","19:48","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"10 November","10:39","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"11 November","13:06","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"12 November","18:26","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"13 November","14:15","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"14 November","14:16","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"14 November","16:56","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"14 November","19:59","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"14 November","16:07","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"14 November","14:32","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"14 November","12:07","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"14 November","21:50","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"15 November","14:07","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"15 November","13:08","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"15 November","15:56","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"15 November","12:18","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"15 November","11:36","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"15 November","12:02","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"15 November","10:49","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"15 November","19:18","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"16 November","13:31","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"16 November","17:04","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"16 November","11:08","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"16 November","12:27","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"16 November","19:22","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"16 November","15:30","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"16 November","14:45","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"16 November","08:22","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"17 November","13:10","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"17 November","14:35","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"17 November","16:29","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"17 November","11:31","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"17 November","13:57","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"17 November","15:24","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"17 November","20:41","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"17 November","12:01","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"18 November","14:54","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"18 November","13:40","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"18 November","11:57","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"18 November","13:17","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"18 November","09:39","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"18 November","17:07","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"18 November","17:26","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"18 November","15:50","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"19 November","18:31","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
