"date","time","customer","customer true identity","customer address","customer telephone","customer email","customer date_of_birth","item","item price","item weight","item department","item supplier","branch","branch address","branch telephone","branch email","branch manager"
"12 November","11:36","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"12 November","12:54","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"12 November","08:35","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"12 November","16:17","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"12 November","17:42","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"12 November","15:54","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"12 November","06:34","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"12 November","15:27","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"13 November","11:58","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"13 November","15:02","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"13 November","17:07","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"13 November","18:25","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"13 November","13:01","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"14 November","07:53","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"14 November","20:26","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"14 November","12:03","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"15 November","15:40","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"15 November","13:51","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"16 November","15:56","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"16 November","09:34","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"16 November","16:07","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"17 November","19:50","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"17 November","18:03","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"17 November","09:47","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"18 November","21:17","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"18 November","20:38","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"18 November","16:03","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"19 November","12:56","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"20 November","09:22","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"20 November","11:44","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"20 November","14:19","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"20 November","14:08","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"21 November","11:26","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"21 November","15:14","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"21 November","12:07","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"22 November","18:44","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"22 November","13:08","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"22 November","19:43","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"22 November","12:56","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"22 November","12:33","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"22 November","17:48","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"23 November","12:29","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"23 November","15:04","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"23 November","09:49","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"23 November","11:57","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"23 November","12:37","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"23 November","13:47","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"23 November","11:07","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"24 November","13:27","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"25 November","15:43","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"25 November","13:59","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"25 November","14:06","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"25 November","17:21","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"25 November","12:49","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"26 November","14:31","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"26 November","18:59","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
